word                                                                            deg of importance
@wayfairfleetltd                                                                         148.664
special                                                                                  148.642
terrible                                                                                 148.473
@aloksharma_rdg                                                                          148.427
round                                                                                    148.181
id.                                                                                      148.177
password                                                                                 148.08
@samturn57422946                                                                         147.555
type                                                                                     147.52
waste                                                                                    147.223
yet,                                                                                     146.928
hence                                                                                    146.403
^danielle                                                                                146.38
feeder.                                                                                  146.066
past                                                                                     145.641
^kalyani                                                                                 145.439
appalling.                                                                               145.399
#contestalert                                                                            145.362
north                                                                                    145.211
digit                                                                                    145.16
saturday                                                                                 145.099
@tata_crucible                                                                           145.088
sunday                                                                                   145.065
acc                                                                                      144.856
here,                                                                                    144.848
18th                                                                                     144.812
kong                                                                                     144.749
#unilever                                                                                144.301
asap.                                                                                    144.253
surely                                                                                   143.963
@dannysensedj                                                                            143.945
report                                                                                   143.58
pm                                                                                       143.521
know,                                                                                    143.473
wonâ€™t                                                                                  143.338
happened.                                                                                143.253
fair                                                                                     143.252
!!                                                                                       143.191
sharing                                                                                  143.1
banks.                                                                                   143.081
action                                                                                   142.959
nothing,                                                                                 142.909
serious                                                                                  142.874
they'll                                                                                  142.834
it?                                                                                      142.781
month.                                                                                   142.551
according                                                                                142.399
times,                                                                                   142.227
unfortunately,                                                                           141.662
understanding                                                                            141.534
priority.                                                                                141.486
@andywacka                                                                               141.362
....                                                                                     141.288
do.                                                                                      141.227
public                                                                                   141.009
here                                                                                     140.935
fantastic                                                                                140.863
hsbcsm                                                                                   140.741
transactions                                                                             140.663
relationship                                                                             140.645
afternoon                                                                                140.478
position                                                                                 140.474
trading                                                                                  140.352
weeks!                                                                                   140.271
ringing                                                                                  140.009
theyâ€™d                                                                                 140.009
#usa                                                                                     139.899
thanks,                                                                                  139.771
exchange                                                                                 139.667
family                                                                                   139.521
branch.                                                                                  139.248
impact                                                                                   139.106
this!                                                                                    139.08
ready                                                                                    138.909
do?                                                                                      138.63
queue                                                                                    138.453
realise                                                                                  138.449
9th                                                                                      138.07
handling                                                                                 137.935
#bbl                                                                                     137.863
charge                                                                                   137.859
#covidãƒ¼19                                                                              137.831
claims                                                                                   137.663
biz                                                                                      137.374
moved                                                                                    137.342
temporary                                                                                136.972
playing                                                                                  136.746
answers                                                                                  136.667
somebody                                                                                 136.57
some                                                                                     136.545
chased                                                                                   136.428
#china                                                                                   136.29
received.                                                                                136.227
impossible                                                                               136.152
research                                                                                 136.035
dealt                                                                                    135.781
information,                                                                             135.738
business.                                                                                135.409
timescales                                                                               135.126
honestly                                                                                 135.115
worry                                                                                    135.039
zero                                                                                     134.988
india                                                                                    134.928
checks                                                                                   134.787
002                                                                                      134.722
worried                                                                                  134.716
counting                                                                                 134.666
laundering                                                                               134.62
locked                                                                                   134.62
tide,                                                                                    134.432
usually                                                                                  134.395
weekend                                                                                  134.363
isnâ€™t                                                                                  134.253
transaction                                                                              134.217
couldnâ€™t                                                                               134.177
huge                                                                                     134.156
eligible                                                                                 134.11
#askrishi                                                                                134.08
rules                                                                                    134.039
by                                                                                       133.797
general                                                                                  133.788
finance                                                                                  133.667
where                                                                                    133.603
$hsbc                                                                                    133.509
@metrobank_help                                                                          132.977
confirmed                                                                                132.898
#moneygram                                                                               132.722
#michelin                                                                                132.722
knew                                                                                     132.662
tells                                                                                    132.55
off.                                                                                     132.549
onto                                                                                     132.419
fabulous                                                                                 132.375
anybody                                                                                  132.374
@oliverprill                                                                             132.352
clients                                                                                  132.271
reset                                                                                    132.181
turn                                                                                     132.07
concern,                                                                                 131.723
re-applied                                                                               131.589
dm.                                                                                      131.47
stressful                                                                                131.131
agents                                                                                   131.08
requests                                                                                 130.813
hsbc                                                                                     130.592
places                                                                                   130.479
gonna                                                                                    130.357
transferred                                                                              130.31
it!                                                                                      130.287
unfortunately                                                                            130.152
pick                                                                                     130.131
recommend                                                                                130.07
message),                                                                                129.99
(direct                                                                                  129.99
virtual                                                                                  129.976
confirming                                                                               129.82
day,                                                                                     129.788
suffering                                                                                129.667
running                                                                                  129.57
messed                                                                                   129.463
heart                                                                                    129.353
up,                                                                                      129.277
handler                                                                                  129.25
unless                                                                                   129.206
marketing                                                                                129.09
disputes                                                                                 129.002
ive                                                                                      128.999
makes                                                                                    128.958
@alixdeeee                                                                               128.902
covid                                                                                    128.642
release                                                                                  128.6
case,                                                                                    128.453
shall                                                                                    128.423
@jono5757a                                                                               128.307
explain                                                                                  128.131
#smallbusiness                                                                           128.114
asks                                                                                     127.868
same.                                                                                    127.545
work.                                                                                    127.453
experience.                                                                              127.453
day!                                                                                     127.374
national                                                                                 127.079
starling,                                                                                127.039
turned                                                                                   126.999
system,                                                                                  126.943
feeling                                                                                  126.717
application?                                                                             126.61
dm,                                                                                      126.495
solution                                                                                 126.453
message,                                                                                 126.444
delays                                                                                   126.302
fetch                                                                                    126.177
clicking                                                                                 126.17
push                                                                                     126.156
inform                                                                                   126.152
problem.                                                                                 126.081
#coronavirus                                                                             125.625
improve                                                                                  125.302
#easyjet                                                                                 125.154
phishing                                                                                 125.135
#body                                                                                    125.056
#spaincoronavirus                                                                        125.056
#shop                                                                                    125.056
losing                                                                                   125.039
reasons                                                                                  124.977
nowhere                                                                                  124.959
arrived                                                                                  124.909
and/or                                                                                   124.707
together                                                                                 124.531
frustrated                                                                               124.524
cuts                                                                                     124.499
agreed                                                                                   124.424
auto                                                                                     124.407
pending                                                                                  124.348
control                                                                                  123.888
asia                                                                                     123.828
experiencing                                                                             123.663
usa,                                                                                     123.618
bills                                                                                    123.423
on?                                                                                      123.174
house                                                                                    122.964
ðÿ¤”                                                                                     122.55
#help                                                                                    122.49
learn                                                                                    122.479
mass                                                                                     122.399
maximum                                                                                  122.372
1.                                                                                       122.364
back?                                                                                    122.185
@bbcnews                                                                                 121.905
managers                                                                                 121.893
asset                                                                                    121.837
physical                                                                                 121.753
sign.                                                                                    121.696
touch,                                                                                   121.65
device                                                                                   121.616
@atag110                                                                                 121.536
political                                                                                121.52
isa                                                                                      121.503
^                                                                                        121.463
post,                                                                                    121.445
sure.                                                                                    121.424
moment,                                                                                  121.307
stuck                                                                                    120.888
phishing@hsbc.co.uk.                                                                     120.727
emailing                                                                                 120.717
@radioseducation                                                                         120.633
members                                                                                  120.625
third                                                                                    120.449
deutsche                                                                                 120.401
website,                                                                                 120.307
ur                                                                                       120.282
industry                                                                                 120.243
alongside                                                                                120.11
explained                                                                                120.03
covid-19,                                                                                119.715
:)                                                                                       119.399
basically                                                                                119.399
feature                                                                                  119.394
banked                                                                                   119.374
^zs                                                                                      119.07
cases                                                                                    118.887
wow                                                                                      118.874
n                                                                                        118.657
speaking                                                                                 118.625
bank                                                                                     118.625
@hsbc_hk                                                                                 118.601
weâ€™ll                                                                                  118.545
banks,                                                                                   118.479
guess                                                                                    118.424
raising                                                                                  118.307
launched                                                                                 118.307
quicker                                                                                  118.288
that                                                                                     118.253
metro                                                                                    117.949
life                                                                                     117.857
piss                                                                                     117.813
have.                                                                                    117.614
anything,                                                                                117.6
date.                                                                                    117.574
apologise                                                                                117.449
kyc                                                                                      117.298
respond                                                                                  117.227
with.                                                                                    117.202
party                                                                                    117.071
save                                                                                     116.949
buisness                                                                                 116.939
outside                                                                                  116.935
submit                                                                                   116.784
yes,                                                                                     116.692
possible.                                                                                116.666
receipt                                                                                  116.6
city                                                                                     116.307
manager.                                                                                 116.282
reviewed                                                                                 116.211
air                                                                                      116.146
campaign                                                                                 116.052
way.                                                                                     116.034
emi                                                                                      116.014
funds,                                                                                   115.964
citi                                                                                     115.867
monzo                                                                                    115.689
#barclays                                                                                115.574
changed                                                                                  115.485
@mrmthomas2                                                                              115.459
initial                                                                                  115.357
singapore                                                                                115.316
there?                                                                                   115.227
@dominiquetaegon                                                                         115.081
@hsbc,                                                                                   115.039
listening                                                                                115.039
facebook                                                                                 114.98
senior                                                                                   114.893
@davemashiter                                                                            114.767
x                                                                                        114.474
setup                                                                                    114.453
register                                                                                 114.424
short                                                                                    114.424
possibly                                                                                 114.414
towards                                                                                  114.382
..                                                                                       114.377
similar                                                                                  114.307
deposit                                                                                  114.253
section                                                                                  114.136
issued                                                                                   114.035
nobody                                                                                   113.918
utterly                                                                                  113.771
services.                                                                                113.738
^zar                                                                                     113.735
tide.                                                                                    113.606
forwarded                                                                                113.514
#bmw                                                                                     113.506
sheâ€™s                                                                                  113.422
numbers                                                                                  113.136
limit                                                                                    113.039
^(1/2)kalyani                                                                            112.979
director                                                                                 112.868
@santanderukhelp                                                                         112.838
concern.                                                                                 112.816
^md                                                                                      112.801
course                                                                                   112.797
knowing                                                                                  112.721
app,                                                                                     112.657
@bcdrain                                                                                 112.641
me                                                                                       112.556
too!                                                                                     112.413
official                                                                                 112.389
happen                                                                                   112.324
nigeria                                                                                  112.229
infections                                                                               112.229
records                                                                                  112.229
@segwaybude                                                                              112.121
ridiculous                                                                               112.006
listen                                                                                   111.893
chasing                                                                                  111.892
forget                                                                                   111.742
canada                                                                                   111.657
she                                                                                      111.55
successfully                                                                             111.485
are.                                                                                     111.479
traders                                                                                  111.453
branches                                                                                 111.417
recently                                                                                 111.275
@thefca                                                                                  111.235
wouldnâ€™t                                                                               111.136
yet?                                                                                     111.131
signature                                                                                111.131
@rameezhaider13                                                                          111.068
^laura                                                                                   110.969
phone,                                                                                   110.893
phoning                                                                                  110.813
responded                                                                                110.809
terms                                                                                    110.596
risk                                                                                     110.485
#burberry                                                                                110.312
@bounceybounce3                                                                          109.951
@hsbc_sport                                                                              109.926
arrange                                                                                  109.918
stage                                                                                    109.842
relevant                                                                                 109.792
form,                                                                                    109.625
finding                                                                                  109.302
acknowledgement                                                                          109.257
actions                                                                                  109.243
compensation                                                                             109.211
human                                                                                    109.064
scheme.                                                                                  109.039
client                                                                                   109.039
further.                                                                                 108.852
please.                                                                                  108.834
#cbils                                                                                   108.803
fun                                                                                      108.713
joke.                                                                                    108.535
tomorrow.                                                                                108.503
accepting                                                                                108.428
arrived.                                                                                 108.385
recent                                                                                   108.313
standard                                                                                 107.803
genuine                                                                                  107.802
feedback.                                                                                107.788
setting                                                                                  107.696
gotta                                                                                    107.657
about                                                                                    107.627
overseas                                                                                 107.625
dd                                                                                       107.585
select                                                                                   107.51
basis                                                                                    107.499
march.                                                                                   107.485
allowing                                                                                 107.443
attached                                                                                 107.262
stated                                                                                   107.071
hung                                                                                     107.014
290                                                                                      106.939
legal                                                                                    106.935
^barnali                                                                                 106.797
chief                                                                                    106.592
update.                                                                                  106.447
happens                                                                                  106.428
postcode,                                                                                106.41
attempts                                                                                 106.389
business,                                                                                106.389
internal                                                                                 106.314
dial                                                                                     105.973
compared                                                                                 105.893
started.                                                                                 105.868
bloody                                                                                   105.717
@baftacat                                                                                105.616
monday,                                                                                  105.503
member                                                                                   105.474
posted                                                                                   105.453
ðÿ¤·â€â™€ï¸                                                                                          105.257
martin                                                                                   105.243
angry                                                                                    105.046
united                                                                                   105.033
meant                                                                                    104.943
true                                                                                     104.943
survive                                                                                  104.878
starting                                                                                 104.797
11th                                                                                     104.671
everyone.                                                                                104.57
followed                                                                                 104.521
@refill1000                                                                              104.346
#nigeria                                                                                 104.296
#airbus                                                                                  104.296
#ford                                                                                    104.296
#toyota                                                                                  104.296
thing.                                                                                   104.257
pathetic                                                                                 104.136
begin                                                                                    104.121
actual                                                                                   104.071
premier                                                                                  104.045
guys.                                                                                    104.039
them?                                                                                    103.838
ombudsman                                                                                103.799
rugby                                                                                    103.797
sevens                                                                                   103.797
@barkingmadclare                                                                         103.716
@hermesparcels                                                                           103.56
enjoy                                                                                    103.529
(i                                                                                       103.439
shows                                                                                    103.282
act                                                                                      103.277
entered                                                                                  103.243
tuesday.                                                                                 103.11
friday.                                                                                  103.089
